election_name;rule_abbreviation;property_short_name;value
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_card;avg_cost_sat;466487.2178850242
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_card;avg_nrmcard_sat;0.11043849761338176
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_card;avg_nrmcost_sat;0.17742297117454722
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_card;avg_relcard_sat;0.5282251765661974
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_card;avg_relcost_sat;0.2627396321822469
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;inverted_cost_gini;0.5025108548576834
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;prop_pos_sat;0.7938254080908446
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;category_prop;0.9563493941908645
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;med_select_cost;272185.5
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;agg_nrmcost_sat;[0.20617459190915544, 0.031227821149751596, 0.07061745919091554, 0.08907026259758694, 0.04009936124911285, 0.07132718239886444, 0.045067423704755145, 0.06742370475514549, 0.046132008516678494, 0.050390347764371894, 0.0361958836053939, 0.051809794180269694, 0.03584102200141945, 0.040809084457061745, 0.034066713981547196, 0.0227111426543648, 0.0255500354861604, 0.01242015613910575, 0.0134847409510291, 0.0049680624556423, 0.0046132008516678496]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;avg_card_sat;2.7778566359119985
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;avg_cost_sat;769565.1252661446
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;avg_nrmcard_sat;0.05446777717474507
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;avg_nrmcost_sat;0.2926951174698314
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;avg_relcard_sat;0.2764061484607975
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";max_cost;avg_relcost_sat;0.3489383504099251
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;inverted_cost_gini;0.5837435032591369
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;prop_pos_sat;0.9308019872249823
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;category_prop;0.9976125171460362
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;med_select_cost;31500.0
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;agg_nrmcost_sat;[0.06919801277501775, 0.09900638750887154, 0.12455642299503193, 0.0965223562810504, 0.09581263307310149, 0.09261887863733144, 0.07594038325053229, 0.06352022711142655, 0.06990773598296664, 0.07700496806245564, 0.0631653655074521, 0.04151880766501065, 0.023066004258339247, 0.00603264726756565, 0.0021291696238466998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;avg_card_sat;5.001419446415902
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;avg_cost_sat;611176.7920510985
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;avg_nrmcard_sat;0.09806704796893925
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;avg_nrmcost_sat;0.23245396272650043
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;avg_relcard_sat;0.47300278678028934
"Warszawa, Praga-Północ, Praga-Północ, 2022-06";mes_cost;avg_relcost_sat;0.31306683860993645
